Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2016/04,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,GBP,2738324,2494,45221.051252,31655.343659
2016/04,Christies_UK_Zenith International,914143,Active,,GBP,1426441,1623,19252.232265,14124.646569
2016/05,DSG_UK_Blue449,341246,Active,,GBP,337453,815,3783.769602,2648.689576
2016/05,KFC_UK_Blue449,595178,Active,,GBP,2260493,7186,20033.202005,14023.510655
2016/05,Next_UK_Zenith,378754,Active,,GBP,1642580,1834,9035.943256,6629.335401
2016/05,Aviva_UK_Zenith,3601,Active,,GBP,202007,112,4857.932229,3400.617852
2016/05,Omega_UK_Zenith,201041,Active,,GBP,495701,399,9711.027508,6797.849774
2016/05,Entertainment One_UK_Zenith,8451,Active,,GBP,4624276,517,11597.065068,8508.335193
2016/05,Molson Coors_UK_Zenith (DCM),676041,Active,,GBP,1701295,798,31752.818490,22227.399709
2016/05,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,GBP,3689502,3735,54162.984441,37914.817073
2016/05,Christies_UK_Zenith International,914143,Active,,GBP,630384,635,8696.427648,6380.245431
2016/06,KFC_UK_Blue449,595178,Active,,GBP,2140734,7886,18422.479423,12895.983199
2016/06,Aviva_UK_Zenith,3601,Active,,GBP,525135,537,6012.317704,4208.703200
2016/06,Omega_UK_Zenith,201041,Active,,GBP,1012025,969,15968.433340,11178.117958
2016/06,Maxxium_UK_Zenith_Non-DCM,1117458,Active,,GBP,736873,374,7662.673757,5363.974618
2016/06,Entertainment One_UK_Zenith,8451,Active,,GBP,84839700,22921,107826.377076,79108.201379
2016/06,Molson Coors_UK_Zenith (DCM),676041,Active,,GBP,2965488,1296,57358.300455,40151.581229
2016/06,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,GBP,4316732,4093,65755.324099,46567.054291
2016/06,Christies_UK_Zenith International,914143,Active,,GBP,978676,1464,7829.490693,5744.206040
2016/07,KFC_UK_Blue449,595178,Active,,GBP,1727475,6569,18340.006988,12838.251386
2016/07,Omega_UK_Zenith,201041,Active,,GBP,482778,436,7467.292240,5227.204930
2016/07,Maxxium_UK_Zenith_Non-DCM,1117458,Active,,GBP,1264110,594,13817.999768,9672.785555
2016/07,Entertainment One_UK_Zenith,8451,Active,,GBP,55424413,21902,104603.012810,76743.338936
2016/07,Molson Coors_UK_Zenith (DCM),676041,Active,,GBP,926477,542,14870.099147,10409.269261
2016/07,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,GBP,4201562,2969,62306.577308,43615.441532
2016/07,Christies_UK_Zenith International,914143,Active,,GBP,378738,495,4165.237296,3055.879644
2016/08,ACER_UK_Zenith,283933,Active,,GBP,375269,695,5110.923147,3577.714895
2016/08,KFC_UK_Blue449,595178,Active,,GBP,200901,772,1745.078464,1221.578379
2016/08,Aviva_UK_Zenith,3601,Active,,GBP,2268556,1864,23398.200782,17166.389427
2016/08,Omega_UK_Zenith,201041,Active,,GBP,585711,620,8518.479546,5963.050173
2016/08,Qantas_UK_Zenith,213534,Active,,GBP,355838,152,2115.752103,1552.248605
2016/08,Entertainment One_UK_Zenith,8451,Active,,GBP,20104627,4081,42300.999239,31034.669411
2016/08,Molson Coors_UK_Zenith (DCM),676041,Active,,GBP,469306,295,9770.625780,6839.569366
2016/08,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,GBP,2512196,2132,45568.377297,31898.476559
2016/09,ACER_UK_Zenith,283933,Active,,GBP,758457,825,11605.398491,8123.934923
2016/09,Aviva_UK_Zenith,3601,Active,,GBP,1852221,2193,18696.405302,13716.857005
2016/09,Omega_UK_Zenith,201041,Active,,GBP,559774,651,8194.301359,5736.121085
2016/09,Birds Eye_UK_Zenith,1225156,Active,,GBP,998074,1509,13585.521452,9510.047609
2016/09,RBS (DFA)_UK_Zenith,333264,Active,,GBP,783570,540,9806.763705,6864.866399
2016/09,Swarovski_UK_Zenith,144532,Active,,GBP,864865,1234,15776.935027,11044.066565
2016/09,Natwest (DFA)_UK_Zenith,333265,Active,,GBP,244599,176,4019.799627,2813.913766
2016/09,Entertainment One_UK_Zenith,8451,Active,,GBP,17930544,1424,31922.886962,23420.634532
2016/09,Molson Coors_UK_Zenith (DCM),676041,Active,,GBP,973633,456,16206.216659,11344.569477
2016/09,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,GBP,2378474,2217,42874.183177,30012.504464
2016/10,ACER_UK_Zenith,283933,Active,,GBP,227325,211,3336.753680,2335.772423
2016/10,Aviva_UK_Zenith,3601,Active,,GBP,3665722,5186,40073.705337,29400.586737
2016/10,Costa_UK_Zenith,586631,Active,,GBP,4074086,3999,40640.866392,29816.691703
2016/10,Omega_UK_Zenith,201041,Active,,GBP,465056,456,8378.747325,5865.235740
2016/10,Birds Eye_UK_Zenith,1225156,Active,,GBP,1295506,2036,20563.041313,14394.405292
2016/10,RBS (DFA)_UK_Zenith,333264,Active,,GBP,335757,190,6293.360879,4405.437200
2016/10,Natwest (DFA)_UK_Zenith,333265,Active,,GBP,1301120,1329,22961.453334,16073.325942
2016/10,Maxxium_UK_Zenith_Non-DCM,1117458,Active,,GBP,205461,180,2999.917389,2099.982492
2016/10,Entertainment One_UK_Zenith,8451,Active,,GBP,17823339,7542,63637.124787,46688.190954
2016/10,Molson Coors_UK_Zenith (DCM),676041,Active,,GBP,868818,442,13205.650061,9244.132530
2016/10,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,GBP,3070673,2218,52298.630061,36609.743950
2016/10,Fred Perry_UK_Zenith (non-DCM),1325145,Active,,GBP,178014,592,2710.153494,1897.143871
2016/10,ACER USD_UK_Zenith International,290566,Active,,USD,215922,359,3837.212038,2686.100000
2016/10,Lexus Pan Euro_UK_Zenith International DCM Parent,812132,Active,,EUR,8837954,15476,119444.110764,87631.700369
2016/11,Aviva_UK_Zenith,3601,Active,,GBP,3549828,2657,30184.794925,22145.461067
2016/11,Omega_UK_Zenith,201041,Active,,GBP,590397,668,9489.703318,6642.919867
2016/11,Citizen_UK_Zenith,222935,Active,,GBP,1183396,1309,18265.196579,12785.883094
2016/11,Birds Eye_UK_Zenith,1225156,Active,,GBP,2377548,4220,41594.871899,29116.969375
2016/11,RBS (DFA)_UK_Zenith,333264,Active,,GBP,464397,284,8847.173435,6193.140313
2016/11,Swarovski_UK_Zenith,144532,Active,,GBP,863748,816,15659.701639,10962.001618
2016/11,John Frieda_UK_Zenith,272335,Active,,GBP,2549035,2860,24965.871928,18316.531424
2016/11,Natwest (DFA)_UK_Zenith,333265,Active,,GBP,1385881,1615,23416.019750,16391.528542
2016/11,Harvey Nichols_UK_Zenith,662673,Active,,GBP,1603758,1802,16811.361015,12333.870141
2016/11,Maxxium_UK_Zenith_Non-DCM,1117458,Active,,GBP,518903,435,6852.285638,4796.692043
2016/11,Entertainment One_UK_Zenith,8451,Active,,GBP,38873787,11910,122247.775000,89688.644514
2016/11,Molson Coors_UK_Zenith (DCM),676041,Active,,GBP,533198,235,7991.933092,5594.460578
2016/11,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,GBP,1358787,991,16878.874924,11815.439303
2016/11,Christies_UK_Zenith International,914143,Active,,GBP,100616,134,2022.967067,1484.175676
2016/11,Lexus Pan Euro_UK_Zenith International DCM Parent,812132,Active,,EUR,1094331,1871,6286.625251,4612.263064
2016/12,Aviva_UK_Zenith,3601,Active,,GBP,502591,333,3251.535150,2385.530372
2016/12,Omega_UK_Zenith,201041,Active,,GBP,84075,104,1719.599867,1203.743019
2016/12,Birds Eye_UK_Zenith,1225156,Active,,GBP,396619,794,7326.668617,5128.766504
2016/12,RBS (DFA)_UK_Zenith,333264,Active,,GBP,199956,95,4263.395316,2984.434022
2016/12,Swarovski_UK_Zenith,144532,Active,,GBP,997274,2286,17440.041502,12208.263450
2016/12,John Frieda_UK_Zenith,272335,Active,,GBP,1628761,1064,9985.665624,7326.111370
2016/12,Natwest (DFA)_UK_Zenith,333265,Active,,GBP,1202406,1625,29375.372829,20563.155793
2016/12,Maxxium_UK_Zenith_Non-DCM,1117458,Active,,GBP,494824,383,5195.787560,3637.121125
2016/12,Entertainment One_UK_Zenith,8451,Active,,GBP,20202572,11128,75658.609894,55507.907340
2016/12,Molson Coors_UK_Zenith (DCM),676041,Active,,GBP,3308,3,50.916801,35.642445
2016/12,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,GBP,476468,392,10724.662481,7507.407879
2016/12,Fred Perry_UK_Zenith (non-DCM),1325145,Active,,GBP,219268,255,1871.681079,1310.201911
2016/12,Christies_UK_Zenith International,914143,Active,,GBP,323339,450,7511.156021,5510.655734
,,,,,,500912994,331137,,

Report Time:,2017/05/02 11:05 GMT
Date Range:,2016/01/01 to 2016/12/31
Group By:,Month
Group By:,Advertiser
Group By:,Advertiser ID
Group By:,Advertiser Status
Group By:,Advertiser Integration Code
Group By:,Advertiser Currency
Filter by Line Item Type ID:,6
Filter by Partner ID:,151
